,id,title,thumbnail.alt_text,date_start,date_end,date_display,artist_display,place_of_origin,dimensions,medium_display,credit_line,department_title,artist_title,classification_title
647,84524,"Portrait of Vollard II, from the Suite Vollard","A work made of sugar-lift, with aquatint and spit-bite etching on copper in black on ivory laid paper.",1937.0,1937.0,"March 4, 1937, printed and published 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,347 × 246 mm (image/plate); 502 × 388 mm (sheet),"Sugar-lift, with aquatint and spit-bite etching on copper in black on ivory laid paper",Prints and Drawings Purchase Fund,Prints and Drawings,Pablo Picasso,etching
648,88767,David and Bathsheba,A work made of lithograph in black on ivory wove paper.,1947.0,1947.0,"March 30, 1947","Pablo Picasso (Spanish, 1881-1973)
after Lucas Cranach, the Elder (German, 1472-1553)",Spain,638 × 485 mm (image); 658 × 500 mm (sheet),Lithograph in black on ivory wove paper,Prints and Drawings Purchase Account and Mrs. Albert Roullier and Miss Roullier Fund,Prints and Drawings,Pablo Picasso,lithograph
649,96295,Sketches of a Young Woman and a Man,"A work made of pen and brush and black ink on tan wove paper (discolored to light brown), laid down on thin ivory japanese paper.",1904.0,1905.0,1904/05,"Pablo Picasso
Spanish, 1881-1973",Spain,253 × 335 mm,"Pen and brush and black ink on tan wove paper (discolored to light brown), laid down on thin ivory Japanese paper",Gift of Robert Allerton,Prints and Drawings,Pablo Picasso,pen and ink drawings
650,96686,Reclining Woman,A work made of lithograph in black on cream wove paper.,1924.0,1924.0,1924,"Pablo Picasso (Spanish, 1881-1973)
printed by Charlot Frères
published by Galerie Simon",Spain,214 × 303 mm (image); 282 × 384 mm (sheet),Lithograph in black on cream wove paper,Gift of Walter S. Brewster,Prints and Drawings,Pablo Picasso,lithograph
651,100810,Two Nude Figures: Woman with a Guitar and Boy with a Cup,A work made of drypoint with plate tone on copper in black on off-white laid paper.,1909.0,1909.0,1909,"Pablo Picasso
Spanish, 1881-1973",Spain,130 × 110 mm (image/plate); 240 × 156 mm (sheet),Drypoint with plate tone on copper in black on off-white laid paper,Clarence Buckingham Collection,Prints and Drawings,Pablo Picasso,drypoint
652,100811,Two Nude Figures: Woman with a Guitar and Boy with a Cup,A work made of drypoint with plate tone on copper in black on off-white wove paper.,1909.0,1909.0,1909,"Pablo Picasso
Spanish, 1881-1973",Spain,241 × 157 mm (sheet; plate not measurable),Drypoint with plate tone on copper in black on off-white wove paper,Clarence Buckingham Collection,Prints and Drawings,Pablo Picasso,drypoint
653,100812,Two Nude Figures: Woman with a Guitar and Boy with a Cup,A work made of drypoint with plate tone on copper in black on off-white wove paper.,1909.0,1909.0,1909,"Pablo Picasso
Spanish, 1881-1973",Spain,243 × 160 mm (sheet; plate not measurable),Drypoint with plate tone on copper in black on off-white wove paper,Clarence Buckingham Collection,Prints and Drawings,Pablo Picasso,
654,100813,Two Nude Figures: Woman with a Guitar and Boy with a Cup,"A work made of drypoint on copper in black with black crayon and scraping and burnishing on ivory wove paper, laid down on ivory wove paper (discolored to cream).",1909.0,1909.0,1909,"Pablo Picasso
Spanish, 1881-1973",Spain,130 × 110 mm (primary support; trimmed within platemark); 327 × 252 mm (secondary support),"Drypoint on copper in black with black crayon and scraping and burnishing on ivory wove paper, laid down on ivory wove paper (discolored to cream)",Clarence Buckingham Collection,Prints and Drawings,Pablo Picasso,
655,100814,Two Nude Figures: Woman with a Guitar and Boy with a Cup,A work made of drypoint with plate tone on copper in black on ivory laid paper (discolored to cream).,1909.0,1909.0,1909,"Pablo Picasso
Spanish, 1881-1973",Spain,130 × 110 mm (image/plate); 305 × 224 mm (sheet),Drypoint with plate tone on copper in black on ivory laid paper (discolored to cream),Clarence Buckingham Collection,Prints and Drawings,Pablo Picasso,
656,100815,Two Nude Figures: Woman with a Guitar and Boy with a Cup,A work made of drypoint with plate tone on copper in black on ivory laid paper (discolored to cream).,1909.0,1909.0,"1909, printed 1911, published 1912","Pablo Picasso (Spanish, 1881-1973)
printed by Eugène Delâtre (French, 1864-1938)
published by Daniel-Henry Kahnweiler (French, born Germany, 1884-1979)",Spain,130 × 110 mm (image/plate); 250 × 210 mm (sheet),Drypoint with plate tone on copper in black on ivory laid paper (discolored to cream),Clarence Buckingham Collection,Prints and Drawings,Pablo Picasso,
657,104291,"At the Circus, from The Saltimbanques",A work made of drypoint on cream wove paper.,1905.0,1906.0,"winter 1905–06, printed and published 1913","Pablo Picasso (Spanish, 1881-1973)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,145 × 113 mm (image); 220 × 141 mm (plate); 295 × 211 mm (sheet),Drypoint on cream wove paper,Bequest of Janis H. Palmer,Prints and Drawings,Pablo Picasso,drypoint
658,104298,Madame Ghika,A work made of graphite on cream wove paper.,1901.0,1973.0,n.d.,"Pablo Picasso, imitator of
Spanish, 1881-1973",Spain,110 × 144 mm,Graphite on cream wove paper,Bequest of Mrs. Gordon Palmer,Prints and Drawings,Pablo Picasso,graphite
659,104307,"Head of a Woman in Profile, from The Saltimbanques",A work made of drypoint on ivory wove paper.,1905.0,1905.0,"1905, printed and published 1913","Pablo Picasso (Spanish, 1881-1973)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,291 × 190 mm (image); 291 × 249 mm (plate); 484 × 420 mm (sheet),Drypoint on ivory wove paper,Bequest of Janis H. Palmer,Prints and Drawings,Pablo Picasso,drypoint
660,104308,"Sculptures Representing Marie-Thérese and the Head of a Sculptor, with a Vase of Three Flowers, from the Suite Vollard",A work made of etching on copper in black on off-white laid paper.,1933.0,1933.0,"May 5, 1933, printed 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,265 × 190 mm (image/plate); 448 × 345 mm (sheet),Etching on copper in black on off-white laid paper,Bequest of Janis H. Palmer,Prints and Drawings,Pablo Picasso,etching
661,104311,Two Nude Figures: Woman with a Guitare and Boy with a Cup,A work made of drypoint on copper plate on ivory laid paper.,1909.0,1909.0,"1909, printed June 1911, published 1912","Pablo Picasso (Spanish, 1881-1973)
printed by Eugène Delâtre (French, 1864-1934)
published by Daniel-Henry Kahnweiler (French, born Germany, 1884-1979)",Spain,131 × 111 mm (image/plate); 600 × 430 mm (sheet),Drypoint on copper plate on ivory laid paper,Bequest of Janis H. Palmer,Prints and Drawings,Pablo Picasso,drypoint
662,104927,Toros-Vallauris,A work made of color linocut on ivory wove paper.,1958.0,1958.0,"June 24, 1958","Pablo Picasso (Spanish, 1881-1973)
printed by Hidalgo Arnéra",Spain,647 × 532 mm (image); 821 × 650 mm (sheet),Color linocut on ivory wove paper,Jeffrey Shedd gift,Prints and Drawings,Pablo Picasso,linocut
663,105246,"Sculptor, Reclining Model, and Self-Portrait as Sculpture of Hercules, from the Suite Vollard",A work made of etching on copper in black on off-white laid paper.,1933.0,1933.0,"March 17, 1933; printed 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,267 × 193 mm (image/plate); 444 × 337 mm (sheet),Etching on copper in black on off-white laid paper,Bequest of Maribel G. Blum,Prints and Drawings,Pablo Picasso,etching
664,105247,"Model and Sculptor with His Sculpture, from Suite Vollard",A work made of etching on copper in black on off-white laid paper.,1933.0,1933.0,"March 17, 1933, printed 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,265 × 194 mm (image/plate); 445 × 340 mm (sheet),Etching on copper in black on off-white laid paper,Bequest of Maribel G. Blum,Prints and Drawings,Pablo Picasso,etching
665,105248,"Young Greek Sculptor with His Sculpture: A Man and an Ephebe, from the Suite Vollard",A work made of etching on copper in black on off-white laid paper.,1933.0,1933.0,"March 27, 1933, printed 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,268 × 194 mm (image/plate); 445 × 340 mm (sheet),Etching on copper in black on off-white laid paper,Bequest of Maribel G. Blum,Prints and Drawings,Pablo Picasso,etching
666,105249,"Sculptor Working on a Motif with Marie-Thérèse Posing, from the Suite Vollard",A work made of etching on copper in black on off-white laid paper.,1933.0,1933.0,"March 31, 1933, printed 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,193 × 269 mm (image/plate); 339 × 442 mm (sheet),Etching on copper in black on off-white laid paper,Bequest of Maribel G. Blum,Prints and Drawings,Pablo Picasso,etching
667,105250,"Marie-Thérèse Kneeling, Contemplating a Sculpted Group, from the Suite Vollard",A work made of etching on copper in black on off-white laid paper.,1933.0,1933.0,"April 5, 1933; printed 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,297 × 367 mm (image/plate); 338 × 440 mm (sheet),Etching on copper in black on off-white laid paper,Bequest of Maribel G. Blum,Prints and Drawings,Pablo Picasso,etching
668,105251,"Marie-Thérèse, Sculptor, and Sculpture Representing a Greek Athlete, from the Suite Vollard",A work made of etching on copper in black on off-white laid paper.,1933.0,1933.0,"April 11, 1933, printed 1939","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,266 × 194 mm (image/plate); 446 × 340 mm (sheet),Etching on copper in black on off-white laid paper,Bequest of Maribel G. Blum,Prints and Drawings,Pablo Picasso,etching
669,105525,"Faun Uncovering a Sleeping Woman (Jupiter and Antiope, after Rembrandt), from the Suite Vollard",A work made of aquatint and sugar lift etching with scraping and engraving on copper in black on ivory laid paper.,1936.0,1936.0,"June 12, 1936","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Ambroise Vollard (French, 1867-1939)",Spain,315 × 410 mm (image/plate); 340 × 445 mm (sheet),Aquatint and sugar lift etching with scraping and engraving on copper in black on ivory laid paper,"Gift of Lesley Ryan Brown and her husband Alan J. Brown in commemoration of her citizenship, May 21, 1986",Prints and Drawings,Pablo Picasso,aquatint
670,107709,Woman in Profile,"A work made of pen and brown ink and watercolor, with blotting, on cream laid paper.",1900.0,1910.0,c. 1904,"Pablo Picasso
Spanish, 1881-1973",Spain,174 × 113 mm,"Pen and brown ink and watercolor, with blotting, on cream laid paper",Bequest of Mrs. Gordon Palmer,Prints and Drawings,Pablo Picasso,watercolor
671,109260,Man with a Pipe,"An abstract assemblage of highly colorful, textured, patchwork fragments vaguely form a moustached human figure and architectural elements.",1915.0,1915.0,1915,"Pablo Picasso
Spanish, active France, 1881–1973",Spain,51 1/4 × 35 1/4 in. (130.2 × 89.5 cm),Oil on canvas,Gift of Mrs. Leigh B. Block in memory of Albert D. Lasker,Modern Art,Pablo Picasso,painting
672,109275,Mother and Child,Painting of a woman in white dress with a baby in her lap.,1921.0,1921.0,1921,"Pablo Picasso
Spanish, active France, 1881–1973",Spain,142.9 × 172.7 cm (56 1/4 × 68 in.),Oil on canvas,"Purchased with funds provided by Maymar Corporation, Mrs. Maurice L. Rothschild, and Mr. and Mrs. Chauncey McCormick; Mary and Leigh Block Fund; Ada Turnbull Hertle Endowment; through prior gift of Mr. and Mrs. Edwin E. Hokin",Modern Art,Pablo Picasso,oil on canvas
673,109278,Abstraction: Background with Blue Cloudy Sky,A work made of oil on panel.,1930.0,1930.0,"January 4, 1930","Pablo Picasso
Spanish, active France, 1881–1973",Spain,26 × 19 3/8 in. (66 × 49.2 cm),Oil on panel,Gift of Florene May Schoenborn and Samuel A. Marx; Wilson L. Mead Fund,Modern Art,Pablo Picasso,painting
674,109484,Figure,"A work made of wood, metal, plastic, nails, screws, paint, twine, paper, and concrete.",1935.0,1935.0,1935,"Pablo Picasso
Spanish, active France, 1881–1973",Spain,24 3/4 × 7 1/4 × 5 1/2 in. (63.5 × 18 × 13.7 cm),"Wood, metal, plastic, nails, screws, paint, twine, paper, and concrete","Mary L. and Leigh B. Block, and Alyce and Edwin DeCosta and the Walter E. Heller Foundation endowments; through prior gifts of Mary L. and Leigh B. Block",Modern Art,Pablo Picasso,sculpture
675,109830,The Banderilleros,A work made of linoleum engraving on ivory wove paper.,1959.0,1959.0,"August 26, 1959, published 1960","Pablo Picasso (Spanish, 1881-1973)
printed by Hidalgo Arnéra
published by Galerie Louise Leiris",Spain,535 × 665 mm (image); 623 × 752 mm (sheet),Linoleum engraving on ivory wove paper,Mr. and Mrs. Gaylord Donnelley and Print and Drawing Purchase Account,Prints and Drawings,Pablo Picasso,linocut
676,110718,The Nude Model,A work made of drypoint on ivory wove paper.,1927.0,1927.0,1927,"Pablo Picasso (Spanish, 1881-1973)
printed by Leblanc and Trautmann
published by the Société des Amateurs d'Art et des Collectionneurs",Spain,274 × 185 mm (image); 278 × 188 mm (plate); 370 × 288 mm (sheet),Drypoint on ivory wove paper,Albert Roullier Memorial Collection,Prints and Drawings,Pablo Picasso,drypoint
677,110992,Young Girl Washing Herself,A work made of pen and brown ink on tan wove paper laid down on cream card.,1900.0,1910.0,c. 1905,"Pablo Picasso
Spanish, 1881-1973",Spain,393 × 283 mm (sheet); 401 × 292 mm (mount),Pen and brown ink on tan wove paper laid down on cream card,Gift of Mary and Leigh Block,Prints and Drawings,Pablo Picasso,pen and ink drawings
678,111060,Daniel-Henry Kahnweiler,Black and brown painting of man in suit composed of fractured geometric shapes.,1910.0,1910.0,autumn 1910,"Pablo Picasso
Spanish, active France, 1881–1973",Spain,100.4 × 72.4 cm (39 9/16 × 28 9/16 in.),Oil on canvas,Gift of Mrs. Gilbert W. Chapman in memory of Charles B. Goodspeed,Modern Art,Pablo Picasso,oil on canvas
679,111094,The Hen,"A work made of aquatint, with scraping and drypoint on white wove paper.",1952.0,1952.0,"June 23, 1952","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Galerie Louise Leiris",Spain,465 × 664 mm (image); 516 × 665 mm (plate); 568 × 760 mm (sheet),"Aquatint, with scraping and drypoint on white wove paper",Print and Drawing Club Fund,Prints and Drawings,Pablo Picasso,aquatint
680,111095,The Wounded Picador,A work made of aquatint and sugar lift etching on copper in black on ivory wove paper.,1952.0,1952.0,"June 20, 1952","Pablo Picasso (Spanish, 1881-1973)
printed by Roger Lacourière (French, 1892-1966)
published by Galerie Louise Leiris",Spain,517 × 667 mm (image/plate); 566 × 767 mm (sheet),Aquatint and sugar lift etching on copper in black on ivory wove paper,Morton G. Neumann Fund,Prints and Drawings,Pablo Picasso,aquatint
681,111096,The Check Cloth Bodice,A work made of lithograph in black on ivory wove paper.,1949.0,1949.0,"March 26, 1949","Pablo Picasso
Spanish, 1881-1973",Spain,649 × 495 mm (image); 660 × 503 mm (sheet),Lithograph in black on ivory wove paper,Print and Drawing Club Fund,Prints and Drawings,Pablo Picasso,lithograph
682,111373,"The Horse, from Histoire naturelle",A work made of aquatint and sugar lift etching on ivory laid paper.,1936.0,1936.0,"1936, published May 26, 1942","Pablo Picasso (Spanish, 1881-1973)
written by Georges-Louis Leclerc, comte de Buffon (French, 1707-1788)
published by Martin Fabiani (French)",Spain,270 × 210 mm (image); 360 × 280 mm (sheet),Aquatint and sugar lift etching on ivory laid paper,Print Sales Miscellaneous Fund,Prints and Drawings,Pablo Picasso,aquatint
683,111374,Le Chef d'oeuvre inconnu,"A work made of text and cover with 67 wood engravings, bound with black tooled leather spine gilded with the title, artist and date, and corners over canvas-covered boards embellished with an impression of the cover wood engraving in gold. 12 etchings hors-texte stored separately..",1931.0,1931.0,published 1931,"Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
published by Ambroise Vollard (French, 1867-1939)
engraved by Aubert (French, 20th century)
preface by: Albert Besnard (French, 1849-1934)",Spain,330 × 245 mm,"Text and cover with 67 wood engravings, bound with black tooled leather spine gilded with the title, artist and date, and corners over canvas-covered boards embellished with an impression of the cover wood engraving in gold. 12 etchings hors-texte stored separately.",Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,book
684,111389,"111, from 347 Gravures",A work made of etching and aquatint on white wove paper.,1968.0,1968.0,"May 25, 1968","Pablo Picasso (Spanish, 1881-1973)
printed by Aldo Crommelynck (French 1931-2008)",Spain,215 × 327 mm (image); 232 × 330 mm (plate); 362 × 472 mm (sheet),Etching and aquatint on white wove paper,"Henry Regnery Fund, Print and Drawing Fund, and the Print and Drawing Club Fund",Prints and Drawings,Pablo Picasso,etching
685,111392,Peasant Woman with a Shawl,"A work made of charcoal, with stumping, on cream laid paper.",1906.0,1906.0,summer 1906,"Pablo Picasso
Spanish, 1881-1973",Spain,630 × 424 mm,"Charcoal, with stumping, on cream laid paper",Through prior bequest of Mrs. Gordon Palmer,Prints and Drawings,Pablo Picasso,charcoal
686,111479,Le Chef-d'oeuvre inconnu,"A work made of 12 etchings hors-texte and 67 wood engravings, with black morocco binding with irregular mosaic.",1931.0,1931.0,published 1931,"Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,325 × 253 mm,"12 etchings hors-texte and 67 wood engravings, with black morocco binding with irregular mosaic",Bequest of Maxine Kunstadter,Prints and Drawings,Pablo Picasso,etching
687,111913,Woman's Head,A work made of transfer lithograph on ivory wove paper.,1945.0,1945.0,"November 2, 1945","Pablo Picasso
Spanish, 1881-1973",Spain,340 × 265 mm (image); 445 × 325 mm (sheet),Transfer lithograph on ivory wove paper,Gift of Mrs. Pauline Donnelley,Prints and Drawings,Pablo Picasso,lithograph
688,113112,Still Life with Bottle (recto) Bottle with Stipper (verso),"A work made of watercolor and pen and brown ink, with charcoal and scraping (recto) graphite (verso), on cream wove paper, with pieced cream laid paper repairs.",1909.0,1909.0,fall 1909,"Pablo Picasso
Spanish, 1881-1973",Spain,336 × 511 mm,"Watercolor and pen and brown ink, with charcoal and scraping (recto) Graphite (verso), on cream wove paper, with pieced cream laid paper repairs","Gift of William N. Eisendrath, Jr.",Prints and Drawings,Pablo Picasso,watercolor
689,113735,Study I for Richard J. Daley Center Sculpture,"A work made of graphite, with touches of yellow, blue, and white crayon and yellow and purple fiber-tipped pen, on ivory wove paper.",1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 210 mm,"Graphite, with touches of yellow, blue, and white crayon and yellow and purple fiber-tipped pen, on ivory wove paper",Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
690,113736,Study II for Richard J. Daley Center Sculpture,A work made of graphite on ivory wove paper.,1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 209 mm,Graphite on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
691,113737,Study III for Richard J. Daley Center Sculpture,A work made of graphite on ivory wove paper.,1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 209 mm,Graphite on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
692,113738,Study IV for Richard J. Daley Center Sculpture,A work made of graphite on ivory wove paper.,1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 209 mm,Graphite on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
693,113739,Study V for Richard J. Daley Center Sculpture,A work made of graphite on ivory wove paper.,1964.0,1964.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 210 mm,Graphite on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
694,113740,Study VI for Richard J. Daley Center Sculpture,"A work made of graphite, with traces of pen and brown ink, on ivory wove paper.",1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 210 mm,"Graphite, with traces of pen and brown ink, on ivory wove paper",Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
695,113741,Study VII for Richard J. Daley Center Sculpture (recto and verso),A work made of graphite (recto and verso) on ivory wove paper.,1964.0,1973.0,"January 28, 1964 (recto); 1964 (verso)","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 209 mm,Graphite (recto and verso) on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
696,113743,Study VIII for Richard J. Daley Center Sculpture (recto and verso),A work made of graphite (recto and verso) on ivory wove paper.,1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 210 mm,Graphite (recto and verso) on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
697,113745,Study IX for Richard J. Daley Center Sculpture,A work made of graphite on ivory wove paper.,1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 210 mm,Graphite on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
698,113746,Study X for Richard J. Daley Center Sculpture,A work made of graphite on ivory wove paper.,1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 210 mm,Graphite on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
699,113747,Study XI for Richard J. Daley Center Sculpture,A work made of graphite and blue crayon on ivory wove paper.,1964.0,1973.0,"January 28, 1964","Pablo Picasso
Spanish, 1881-1973",Spain,270 × 210 mm,Graphite and blue crayon on ivory wove paper,Gift of Pablo Picasso,Prints and Drawings,Pablo Picasso,graphite
700,117552,Double Flute Player and Reclining Nude,"A work made of pen and black ink, with brush and gray wash and scraping, on cream wove paper.",1932.0,1932.0,"October 22, 1932","Pablo Picasso
Spanish, 1881-1973",Spain,259 × 330 mm,"Pen and black ink, with brush and gray wash and scraping, on cream wove paper",Gift of Mr. and Mrs. Joseph R. Shapiro,Prints and Drawings,Pablo Picasso,pen and ink drawings
701,117694,Minotaur and Wounded Horse,"A work made of pen and brush and black inks, graphite, and colored crayons, with smudging, over incising, on cream laid paper.",1935.0,1935.0,"April 17, 1935","Pablo Picasso
Spanish, 1881-1973",Spain,343 × 515 mm,"Pen and brush and black inks, graphite, and colored crayons, with smudging, over incising, on cream laid paper",Anonymous gift,Prints and Drawings,Pablo Picasso,pen and ink drawings
702,119169,Untitled (Devil),A work made of gouache on corrugated cardboard.,1952.0,1952.0,1952,"Pablo Picasso
Spanish, 1881-1973",Spain,"1,295 × 305 mm",Gouache on corrugated cardboard,Lindy and Edwin Bergman Collection,Prints and Drawings,Pablo Picasso,gouache
703,122394,1952 Exhibition Poster,A work made of linocut on cream wove paper.,1952.0,1952.0,1952,"Pablo Picasso (Spanish, 1881-1973)
printed by Hidalgo Arnéra",Spain,660 × 509 mm,Linocut on cream wove paper,Gift of Curt Valentin,Prints and Drawings,Pablo Picasso,linocut
704,122446,"Sculptor Before his Sculpture, with a Young Girl in a Turban and Sculpted Head, plate one from Le Chef d'oeuvre inconnu",A work made of etching on copper in black on ivory wove paper.,1927.0,1927.0,"1927, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,192 × 277 mm (image/plate); 250 × 324 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
705,122447,"Painter with Two Models Looking at a Canvas, plate two from Le Chef d'oeuvre inconnu",A work made of etching on copper in black on ivory wove paper.,1927.0,1927.0,"1927, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,192 × 276 mm (image/plate); 248 × 313 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
706,122448,"Bull and Horse in the Arena, plate three from Le Chef d'oeuvre inconnu",A work made of etching on copper in black on ivory wove paper.,1929.0,1929.0,"probably 1929, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,180 × 271 mm (image); 193 × 277 mm (plate); 248 × 328 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
707,122449,"Painter and Model Knitting, plate four from Le Chef d'oeuvre",A work made of etching on copper in black on ivory wove paper.,1927.0,1927.0,"1927, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,193 × 278 mm (image/plate); 252 × 323 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
708,122450,"Sculptor with Sculpture and Other Works, plate five from Le Chef d'oeuvre inconnu",A work made of etching on copper in black on ivory wove paper.,1927.0,1927.0,"1927, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,192 × 276 mm (image/plate); 252 × 320 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
709,122451,"Bald Painter Before his Easel, plate six from Le Chef d'oeuvre inconnu","Large painting, standing man blue turtleneck, sitting woman with white collar",1927.0,1927.0,"1927, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,194 × 276 mm (image/plate); 251 × 324 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
710,122452,"Painter Picking up his Brush, with a Model in a Turban, plate seven from Le Chef d'oeuvre inconnu",A work made of etching on copper in black on ivory wove paper.,1927.0,1928.0,"1927–28, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,194 × 275 mm (image/plate); 249 × 325 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
711,122453,"Painter Working Observed by Nude Model, plate eight from Le Chef d'oeuvre inconnu",A work made of etching on copper in black on ivory wove paper.,1927.0,1928.0,"1927–28, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,192 × 277 mm (image/plate); 247 × 320 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
712,122454,"Three Standing Nudes, With Sketches of Faces, plate nine from Le Chef d'oeuvre inconnu",A work made of etching on copper in black on ivory wove paper.,1927.0,1927.0,"1927, printed and published 1931","Pablo Picasso (Spanish, 1881-1973)
written by Honoré de Balzac (French, 1799-1850)
printed by Louis Fort (French, 19th-20th century)
published by Ambroise Vollard (French, 1867-1939)",Spain,193 × 256 mm (image); 193 × 277 mm (plate); 250 × 317 mm (sheet),Etching on copper in black on ivory wove paper,Gift of the Print and Drawing Club,Prints and Drawings,Pablo Picasso,etching
